,sto_loc,LU,GMRES
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],True,1
1,"[-0.0020752  -0.06970215 -0.11560059 -0.0098877   0.18249512 -0.04968262
 -0.18273926 -0.17419434 -0.1138916   0.3067627 ]",False,5
2,"[ 0.0020752   0.06970215  0.11560059  0.0098877  -0.18249512  0.04968262
  0.18273926  0.17419434  0.1138916  -0.3067627 ]",False,5
3,"[ 0.01391602 -0.00317383  0.01049805 -0.34545898  0.12915039 -0.01977539
 -0.42163086 -0.18481445  0.05786133  0.00170898]",False,5
4,"[-0.01391602  0.00317383 -0.01049805  0.34545898 -0.12915039  0.01977539
  0.42163086  0.18481445 -0.05786133 -0.00170898]",False,5
5,"[-0.00610352  0.08911133  0.01293945 -0.14672852  0.06616211  0.32446289
 -0.00805664 -0.04174805 -0.39379883  0.49047852]",False,5
6,"[ 0.00610352 -0.08911133 -0.01293945  0.14672852 -0.06616211 -0.32446289
  0.00805664  0.04174805  0.39379883 -0.49047852]",False,5
7,"[ 0.00817871 -0.01940918  0.10266113  0.15661621 -0.24865723 -0.27478027
  0.1907959   0.21594238 -0.49230957  0.20275879]",False,5
8,"[-0.00817871  0.01940918 -0.10266113 -0.15661621  0.24865723  0.27478027
 -0.1907959  -0.21594238  0.49230957 -0.20275879]",False,4
9,"[-0.02783203  0.00634766 -0.02099609 -0.30908203 -0.25830078  0.03955078
 -0.15673828  0.36962891 -0.11572266 -0.00341797]",False,6
10,"[ 0.02783203 -0.00634766  0.02099609  0.30908203  0.25830078 -0.03955078
  0.15673828 -0.36962891  0.11572266  0.00341797]",False,6
11,"[ 0.01147461  0.0324707  -0.18432617 -0.00415039 -0.24438477 -0.48999023
 -0.22485352  0.19848633  0.1003418  -0.40209961]",False,6
12,"[-0.01147461 -0.0324707   0.18432617  0.00415039  0.24438477  0.48999023
  0.22485352 -0.19848633 -0.1003418   0.40209961]",False,6
13,"[-0.02209473  0.02258301 -0.11315918  0.18884277  0.11950684  0.29455566
  0.23083496 -0.03112793  0.43444824 -0.20446777]",False,6
14,"[ 0.02209473 -0.02258301  0.11315918 -0.18884277 -0.11950684 -0.29455566
 -0.23083496  0.03112793 -0.43444824  0.20446777]",False,5
15,"[-0.00939941  0.03723145  0.29992676  0.01403809  0.06188965 -0.46032715
  0.40759277 -0.02429199  0.0135498   0.09533691]",False,6
16,"[ 0.00939941 -0.03723145 -0.29992676 -0.01403809 -0.06188965  0.46032715
 -0.40759277  0.02429199 -0.0135498  -0.09533691]",False,6
17,"[ 0.01599121  0.06652832  0.12609863 -0.33557129 -0.05334473  0.02990723
 -0.2388916  -0.01062012  0.17175293 -0.30505371]",False,6
18,"[-0.01599121 -0.06652832 -0.12609863  0.33557129  0.05334473 -0.02990723
  0.2388916   0.01062012 -0.17175293  0.30505371]",False,6
19,"[ 0.04174805 -0.00952148  0.03149414 -0.03637695  0.38745117 -0.05932617
 -0.26489258  0.44555664  0.17358398  0.00512695]",False,6
20,"[-0.04174805  0.00952148 -0.03149414  0.03637695 -0.38745117  0.05932617
  0.26489258 -0.44555664 -0.17358398 -0.00512695]",False,6
21,"[ 0.01965332  0.01306152 -0.08166504  0.15246582 -0.49304199  0.23522949
 -0.03405762  0.41442871 -0.39196777 -0.19934082]",False,5
22,"[-0.01965332 -0.01306152  0.08166504 -0.15246582  0.49304199 -0.23522949
  0.03405762 -0.41442871  0.39196777  0.19934082]",False,5
23,"[-0.0032959  -0.05187988  0.2869873   0.1607666  -0.00427246  0.21520996
  0.41564941  0.01745605  0.40734863 -0.3951416 ]",False,6
24,"[ 0.0032959   0.05187988 -0.2869873  -0.1607666   0.00427246 -0.21520996
 -0.41564941 -0.01745605 -0.40734863  0.3951416 ]",False,6
25,"[ 0.00537109  0.12158203 -0.17138672 -0.15087891 -0.17822266 -0.16552734
 -0.23291016  0.15673828 -0.29345703  0.08837891]",False,6
26,"[-0.00537109 -0.12158203  0.17138672  0.15087891  0.17822266  0.16552734
  0.23291016 -0.15673828  0.29345703 -0.08837891]",False,6
27,"[-0.0135498  -0.10217285  0.06872559 -0.0057373   0.42687988  0.44030762
  0.04211426 -0.37268066 -0.2142334  -0.2911377 ]",False,6
28,"[ 0.0135498   0.10217285 -0.06872559  0.0057373  -0.42687988 -0.44030762
 -0.04211426  0.37268066  0.2142334   0.2911377 ]",False,6
29,"[-0.02001953  0.09228516  0.00244141  0.19873047 -0.06298828  0.34423828
  0.41357422  0.14306641 -0.45166016  0.48876953]",False,5
30,"[ 0.02001953 -0.09228516 -0.00244141 -0.19873047  0.06298828 -0.34423828
 -0.41357422 -0.14306641  0.45166016 -0.48876953]",False,5
31,"[ 0.01062012 -0.05505371  0.29748535 -0.18469238  0.12487793  0.19543457
 -0.00598145 -0.1673584   0.46520996 -0.39343262]",False,5
32,"[-0.01062012  0.05505371 -0.29748535  0.18469238 -0.12487793 -0.19543457
  0.00598145  0.1673584  -0.46520996  0.39343262]",False,5
33,"[ 0.00402832 -0.15881348 -0.12854004  0.13684082  0.11633301 -0.37414551
 -0.17468262 -0.13244629  0.27990723 -0.18371582]",False,6
34,"[-0.00402832  0.15881348  0.12854004 -0.13684082 -0.11633301  0.37414551
  0.17468262  0.13244629 -0.27990723  0.18371582]",False,6
35,"[ 0.01269531  0.01464844  0.41308594 -0.17480469 -0.05761719  0.24511719
  0.17675781  0.00683594 -0.42089844  0.29980469]",False,6
36,"[-0.01269531 -0.01464844 -0.41308594  0.17480469  0.05761719 -0.24511719
 -0.17675781 -0.00683594  0.42089844 -0.29980469]",False,6
37,"[ 0.0045166   0.03405762  0.3104248  -0.3314209   0.19104004 -0.48010254
 -0.01403809 -0.20910645  0.07141113  0.0970459 ]",False,5
38,"[-0.0045166  -0.03405762 -0.3104248   0.3314209  -0.19104004  0.48010254
  0.01403809  0.20910645 -0.07141113 -0.0970459 ]",False,5
39,"[-0.02172852 -0.08276367 -0.03393555 -0.16235352 -0.32446289 -0.28491211
 -0.14868164  0.41137695  0.27807617 -0.49389648]",False,6
